Volcano_Name,Country,Latitude,Longitude,Volcano_Type,Last_Eruption
Taal,Philippines,14.002,120.993,Stratovolcano,1911
Asamayama,Japan,36.406,138.523,Complex volcano,1911
Asamayama,Japan,36.406,138.523,Complex volcano,1911
Piparo,Trinidad,10,-61,Mud volcano,1911
Semeru,Indonesia,-8.108,112.922,Stratovolcano,1911
Novarupta,United States,58.27,-155.157,Caldera,1912
Nyamulagira,"Congo, DRC",-1.408,29.2,Shield volcano,1912
Colima,Mexico,19.514,-103.62,Stratovolcano,1913
Awu,Indonesia,3.689,125.447,Stratovolcano,1913
Asamayama,Japan,36.406,138.523,Complex volcano,1913
Semeru,Indonesia,-8.108,112.922,Stratovolcano,1913
Ambrym,Vanuatu,-16.25,168.12,Pyroclastic shield,1913
Aira,Japan,31.593,130.657,Stratovolcano,1914
Witori,Papua New Guinea,-5.576,150.516,Caldera,1914
Whakaari/White Island,New Zealand,-37.52,177.18,Stratovolcano,1914
Ambae,Vanuatu,-15.389,167.835,Shield volcano,1914
Tungurahua,Ecuador,-1.467,-78.442,Stratovolcano,1916
Stromboli,Italy,38.789,15.213,Stratovolcano,1916
"Lengai, Ol Doinyo",Tanzania,-2.764,35.914,Stratovolcano,1917
Okataina,New Zealand,-38.12,176.5,Lava dome,1917
Calbuco,Chile,-41.33,-72.618,Stratovolcano,1917
San Salvador,El Salvador,13.734,-89.294,Stratovolcano,1917
Banua Wuhu,Indonesia,3.138,125.491,Submarine volcano,1918
Katla,Iceland,63.633,-19.083,Subglacial volcano,1918
Popocatepetl,Mexico,19.023,-98.622,Stratovolcano,1919
Banua Wuhu,Indonesia,3.138,125.491,Submarine volcano,1919
Kelud,Indonesia,-7.935,112.314,Stratovolcano,1919
Stromboli,Italy,38.789,15.213,Stratovolcano,1919
Nasudake,Japan,37.125,139.963,Stratovolcano,1919
Mauna Loa,United States,19.475,-155.608,Shield volcano,1919
Merapi,Indonesia,-7.54,110.446,Stratovolcano,1920
Izalco,El Salvador,13.813,-89.633,Stratovolcano,1920
Nasudake,Japan,37.125,139.963,Stratovolcano,1921
"Cendres, Ile des",Vietnam,10.158,109.014,Submarine volcanoes,1923
Papandayan,Indonesia,-7.32,107.73,Stratovolcano,1923
Tangkuban Parahu,Indonesia,-6.77,107.6,Stratovolcano,1923
Kirishimayama,Japan,31.934,130.862,Shield volcano,1923
Kilauea,United States,19.421,-155.287,Shield volcano,1924
Tokachidake,Japan,43.418,142.686,Stratovolcano,1926
Tokachidake,Japan,43.418,142.686,Stratovolcano,1926
Esjufjoll,Iceland,64.25,-16.583,Stratovolcano,1927
Santorini,Greece,36.404,25.396,Shield volcano,1928
Mayon,Philippines,13.257,123.685,Stratovolcano,1928
Krakatau,Indonesia,-6.102,105.423,Caldera,1928
